species,genus,k_M,L_m,g,A0
Acanthochaenus_luetkenii,Acanthochaenus,0.03296377699959773,2.1394,0.3733691182414712,15793.702988434436
Acanthochromis_polyacanthus,Acanthochromis,0.005089233115732328,1.1328,3.534033947722197,1496.200974920014
Acanthoclinus_littoreus,Acanthoclinus,0.004076088231864599,2.2306,2.576186169056129,2766.609995013152
Acanthocobitis_mooreh,Acanthocobitis,0.0036538774606324083,0.65062,8.898383364061011,655.8705920250579
Acanthocybium_solandri,Acanthocybium,0.009737650000348897,7.7293,0.438622258892772,12180.288265475738
Acanthocyclops_robustus,Acanthocyclops,0.3127677556067325,0.012201,3.1215283526881015,1549.00533555679
Acanthodactylus_boskianus,Acanthodactylus,0.0076222065565383626,1.2585000000000002,2.366941763748983,7004.309732146692
Acanthodactylus_erythrurus,Acanthodactylus,0.006296409380625318,1.565,2.439039072913232,4081.3080936208594
Acanthodactylus_harranensis,Acanthodactylus,0.003270794375093537,1.8104,4.634847529903752,3138.425778050645
Acanthogobius_flavimanus,Acanthogobius,0.3460932469299736,1.6817,0.03419956108933601,179749.92240054352
Acanthopagrus_arabicus,Acanthopagrus,0.002776008350691017,6.4472,1.086409867293146,5911.384130551483
Acanthopagrus_australis,Acanthopagrus,0.0027921138399528062,9.6776,0.63661688661761,11041.783002401296
Acanthopagrus_berda,Acanthopagrus,0.005225955949820047,11.0999,0.7724161820763031,7263.156160737754
Acanthopagrus_bifasciatus,Acanthopagrus,0.003943002966901384,5.6846,0.9424300908011909,5844.621751817642
Acanthopagrus_butcheri,Acanthopagrus,0.003332434330559259,7.6726,0.9403391092889088,10014.904653478628
Acanthopagrus_latus,Acanthopagrus,0.007590625845490503,5.2482,0.7519117364250758,13279.338795896294
Acanthopagrus_schlegelii,Acanthopagrus,0.005491803984077459,6.6975,0.6624551638628512,8243.566790841203
Acanthophis_antarcticus,Acanthophis,0.002351067667841068,9.5023,0.9199862905742261,9261.041804315511
Acanthorhynchus_tenuirostris,Acanthorhynchus,1.249821387477632,0.60583,0.03142716695679176,256366.17930922747
Acanthurus_bahianus,Acanthurus,0.0033445357656607254,0.89212,6.372566399107991,851.9555127607293
Acanthurus_blochii,Acanthurus,0.0027815546435048786,2.6125,2.6147643961732348,2124.931939202777
Acanthurus_dussumieri,Acanthurus,0.0029268102571038926,2.9626999999999994,2.193683312176281,2543.490242961734
Acanthurus_leucosternon,Acanthurus,0.003490430303847918,7.5129,0.8131713988820315,6947.516641528722
Acanthurus_lineatus,Acanthurus,0.003501367138951032,2.9996,1.9101753204559035,2851.431720499599
Acanthurus_nigricans,Acanthurus,0.004290045092760843,2.3575,2.175744099444376,2498.5050668238473
Acanthurus_nigricauda,Acanthurus,0.004171709017373522,6.013300000000001,0.845181438957649,6486.649826541119
Acanthurus_nigrofuscus,Acanthurus,0.00370906566958787,1.5932999999999997,3.2697343899590865,1673.1255096865211
Acanthurus_olivaceus,Acanthurus,0.0038272553161346028,2.7932,1.9232407041651156,2813.1551580133387
Acanthurus_triostegus,Acanthurus,0.011184894413223151,1.4455,1.5312568059009668,3453.160097306293
Acanthurus_xanthopterus,Acanthurus,0.002476620929448733,3.6076,2.007911290224109,2815.343178158031
Acarichthys_heckelii,Acarichthys,0.14109114851331972,2.6448,0.08560719899936123,63637.38120262372
Accipiter_cooperii,Accipiter,0.045039242471540106,4.4556,0.24385971926165956,30817.123712027045
Accipiter_fasciatus,Accipiter,0.1264757026723086,2.9067,0.05018130813494609,147727.59934428148
Accipiter_nisus,Accipiter,0.12481865231676074,2.4927,0.061281990580838754,124153.79156983562
Accipiter_striatus,Accipiter,0.07189062159810114,2.499,0.11954045387251173,65829.58339819833
Acentrogobius_pflaumii,Acentrogobius,0.01043069784450832,3.9777,0.5777510741575591,9452.86077160861
Acentrogobius_viridipunctatus,Acentrogobius,0.003977026750816174,3.2624,1.6506030282263628,3246.0174997180648
Achatina_achatina,Achatina,0.005970219880753336,1.2354,9.365734273540847,432.92704369067155
Achirus_mazatlanus,Achirus,0.006052434999892345,1.4787,2.408004088669076,2204.3516943540367
Achoerodus_gouldii,Achoerodus,0.0020304860340937107,11.8374,0.8746165717277511,6181.882266684374
Achoerodus_viridis,Achoerodus,0.0010875409268994404,13.5641,6.73347839170054,1491.8035314347776
Achondrostoma_arcasii,Achondrostoma,0.003673499216759189,4.8434,1.3994876105453307,3835.2823329938665
Acinonyx_jubatus,Acinonyx,0.10523579110117384,9.5771,0.02693347272116774,338815.48683516786
Acipenser_baerii,Acipenser,0.004052753782529036,21.6328,0.1572216354193963,47503.84498689564
Acipenser_brevirostrum,Acipenser,0.004035677227463407,16.9608,0.5199981965053028,17561.995278872244
Acipenser_dabryanus,Acipenser,0.004610354285529872,27.1692,0.23131952592693755,24527.357576953622
Acipenser_fulvescens,Acipenser,0.0028821153158547644,27.0259,0.35480004416800176,25835.002096212374
Acipenser_gueldenstaedtii,Acipenser,0.012073410368159305,20.4335,0.11444170083755699,55118.408126501796
Acipenser_medirostris,Acipenser,0.0027582929747279506,29.1553,0.7817942290148019,14146.628569407172
Acipenser_nudiventris,Acipenser,0.001810202222917793,33.5483,1.536542369781626,4508.805539203592
Acipenser_oxyrinchus,Acipenser,0.004910833318885232,34.7,0.2987513646569122,41151.390710382744
Acipenser_persicus,Acipenser,0.002351386099604352,25.7947,0.7214611687168304,12844.153687400963
Acipenser_ruthenus,Acipenser,0.002249312026784916,14.552,1.582213675163214,4275.931853316525
Acipenser_schrenckii,Acipenser,0.003357860122090586,29.4226,0.2242578778228717,30071.35965111566
Acipenser_sinensis,Acipenser,0.015102017400725188,27.4962,0.07743804416748033,75867.93945010322
Acipenser_stellatus,Acipenser,0.004290870700606074,24.8787,0.2987130321674324,18232.774402338175
Acipenser_sturio,Acipenser,0.0033027522935779817,40.98,0.23487812483054063,26603.824430501627
Acipenser_transmontanus,Acipenser,0.0014106410973921538,57.3772,0.7816662453789376,14926.86092345843
Acomys_cahirinus,Acomys,0.28193463567946403,1.4709,0.09290624019157359,89484.24153971722
Acomys_russatus,Acomys,0.2817075546662826,1.288,0.04820315366646833,168200.49997190526
Acomys_spinosissimus,Acomys,1.1840842013178856,0.81388,0.021837653318255254,387895.0736913965
Acomys_subspinosus,Acomys,1.2459264411779196,0.8982299999999999,0.03460907281761152,237827.98538612094
Aconaemys_fuscus,Aconaemys,0.2828693549635527,1.7040000000000002,0.0618100003509757,149414.68373150006
Acontias_meleagris,Acontias,0.005775893119103874,6.056699999999999,0.7184377106975045,11315.316165824577
Acreichthys_tomentosus,Acreichthys,0.004167538842992225,3.3798000000000004,1.7293734908389193,3241.200165604021
Acridotheres_cristatellus,Acridotheres,0.15411263070740155,2.0839,0.10188839750072488,78222.66234414019
Acridotheres_tristis,Acridotheres,0.10090501997148098,2.1925,0.12757969978810335,62897.33445649266
Acrobates_pygmaeus,Acrobates,0.034073867480971354,1.5405,0.4417155607517251,17783.945543497535
Acrocephalus_arundinaceus,Acrocephalus,0.13735421102168527,1.4287,0.15284504487988496,50101.16281937396
Acrocephalus_bistrigiceps,Acrocephalus,0.3943082903105418,0.84857,0.09183552479980833,80941.16017349045
Acrocephalus_melanopogon,Acrocephalus,0.15587140059603924,1.1981,0.180423484291253,42285.818617836376
Acrocephalus_orientalis,Acrocephalus,0.41256507669167686,1.061,0.05586985951278792,132962.09427682776
Acrocephalus_palustris,Acrocephalus,0.12496666974092714,1.2551,0.2197574253539452,34950.36732789044
Acrocephalus_schoenobaenus,Acrocephalus,0.5136888478007331,0.8686,0.06886750224538471,107801.70043520053
Acrocephalus_scirpaceus,Acrocephalus,0.09373567725166172,1.3174,0.28750306024580236,26152.963964527502
Acrocheilus_alutaceus,Acrocheilus,0.003073752512154394,3.4039,7.847557287338318,685.8830232767842
Acrocodia_indica,Acrocodia,0.056412691866637936,26.2429,0.051715963547946345,157820.59553592376
Acroperus_harpae,Acroperus,0.18060379012404257,0.03821200000000001,3.0020726611251094,1604.975540621236
Acrossocheilus_fasciatus,Acrossocheilus,0.002613024222234363,3.3715,1.8010601705701874,3777.733153923499
Acroteriobatus_annulatus,Acroteriobatus,0.0027420883499498917,13.373899999999999,0.5290897748934642,10817.861991130238
Actinemys_marmorata,Actinemys,0.0057772830029210725,5.907700000000001,0.9199408618296967,11554.07123511951
Actinia_equina,Actinia,0.008609178530551117,2.1407,1.0815170127043232,2154.685887573305
Actinonaias_ligamentina,Actinonaias,0.00631347084884237,2.3784,0.2584317114021394,9264.196278226776
Actitis_macularius,Actitis,0.07879996463155187,1.7867,0.20947228262992695,45187.12386382803
Acyrthosiphon_pisum,Acyrthosiphon,0.003964935940660823,8.92,0.8765176474177114,6642.805577719519
Acyrtops_beryllinus,Acyrtops,0.008525587294351164,0.44682999999999995,5.702078343981147,1005.5883768968085
Adamussium_colbecki,Adamussium,0.009353217929062583,0.52181,2.332293944413018,2547.790807811959
Addax_nasomaculatus,Addax,0.0054389348174901375,33.1237,1.0088386745064837,10716.626835343573
Adelomelon_beckii,Adelomelon,0.01707720033590605,4.2077,0.027652628929360625,176903.39723200802
Adelomelon_brasiliana,Adelomelon,0.010727254172313858,3.8084,0.1093022848732937,44712.70893984862
Adelomyia_melanogenys,Adelomyia,1.6308206659884754,0.40225,0.028280590714590874,262091.26156226525
Aedes_aegypti,Aedes,1.9238071189303336,0.012842,0.8529264148109109,5168.004079382536
Aegithalos_caudatus,Aegithalos,1.2579068850837918,0.57549,0.03287136089524392,262556.5578180128
Aegithina_lafresnayei,Aegithina,0.5618341390256018,0.87586,0.043921001624841645,168552.32058908898
Aegithina_tiphia,Aegithina,0.3431323751880516,0.92438,0.07502253301203694,104676.9577813443
Aegolius_acadicus,Aegolius,0.07272467539214501,2.2793,0.1299579163619216,60491.23851310627
Aegolius_funereus,Aegolius,0.06894087195013156,2.2995,0.1422889431485511,55561.83581008635
Aegopinella_epipedostoma,Aegopinella,0.03931621064687017,0.17193,1.7898892525050687,2258.214773364642
Aegotheles_cristatus,Aegotheles,0.13057890668637864,1.6091,0.09646644182741161,86446.06094126818
Aeorestes_cinereus,Aeorestes,0.4342754752828518,0.99235,0.0364099803131148,220467.58115079577
Aepyceros_melampus,Aepyceros,0.0038011369444311545,21.5864,0.7767066014431023,22528.775364845103
Aepyprymnus_rufescens,Aepyprymnus,0.13515500177727377,4.922,0.03768755167317119,207607.50001007758
Aequipecten_opercularis,Aequipecten,0.016519521016301802,0.38003,2.655181504060405,884.3275451842055
Aequiyoldia_eightsii,Aequiyoldia,0.0076299303645653805,0.36278,7.268822529953362,324.5246769256688
Aerodramus_bartschi,Aerodramus,0.02591997747641622,1.4131,0.6405293039189602,12306.106144067247
Aerodramus_brevirostris,Aerodramus,0.0954867807870317,1.1999,0.18274558361339258,43191.12927078907
Aerodramus_fuciphagus,Aerodramus,0.038456234685016966,1.3283,0.43563787989341535,25831.983704966446
Aerodramus_hirundinaceus,Aerodramus,0.06899054204457788,1.0204,0.19250560808680842,56426.38193580862
Aerodramus_maximus,Aerodramus,0.11613413118086992,1.0864,0.13595351967184213,81443.81218945653
Aerodramus_spodiopygius,Aerodramus,0.055530829017902135,1.2266,0.24589617043604833,35946.8944074465
Aerodramus_vanikorensis,Aerodramus,0.20038356178584293,0.99689,0.11869221172112426,62510.427244551815
Aeronautes_saxatalis,Aeronautes,0.07493557662033182,1.6243,0.12499398495777005,61443.940574654145
Aethaloperca_rogaa,Aethaloperca,0.0013742307214542446,3.7471999999999994,3.516251861318612,1570.690881095406
Aethia_cristatella,Aethia,0.2579826802136711,2.04,0.038087752185606456,203930.11091247096
Aethia_psittacula,Aethia,0.0697942487382688,2.966,0.1282258495403006,59502.78938201931
Aethia_pusilla,Aethia,0.05788381116715407,2.3815,0.22346705685834473,35198.19693453143
Aethia_pygmaea,Aethia,0.06677587855903186,2.2759,0.16504006158278156,55081.45378929447
Aethomyias_papuensis,Aethomyias,0.33803692202303764,0.90766,0.08247111068970951,89033.7860503164
Aethomyias_perspicillatus,Aethomyias,1.5388448364145122,0.5828,0.026533197246172802,284225.6044413499
Aethomys_chrysophilus,Aethomys,0.193178388518041,2.1118,0.08708332183047594,95040.47506863686
Aethomys_hindei,Aethomys,0.2315399183031519,2.0181,0.05081208716105687,157566.2678494493
Aethomys_kaiseri,Aethomys,0.19798438890997996,2.2711,0.11767130144983798,70432.09789112692
Aethopyga_christinae,Aethopyga,1.113319990438873,0.55089,0.035272143617897746,209646.77967900186
Aethopyga_siparaja,Aethopyga,0.9620516995647801,0.62085,0.03983995724125227,185381.54502653508
Aethotaxis_mitopteryx,Aethotaxis,0.1135770605640429,1.6226,0.12482491027914094,56171.835657289404
Aetobatus_flagellum,Aetobatus,0.0027154308640190577,19.3966,0.5303006080236778,14286.714558865611
Aetobatus_narinari,Aetobatus,0.0032089782406711166,31.1544,0.40498613997780886,14871.191998776527
Aetomylaeus_bovinus,Aetomylaeus,0.003617881168824329,32.5448,0.5380607096024724,10596.055809602103
Afrotis_afra,Afrotis,0.20302649095354672,3.129,0.05348907688611209,140371.99853224505
Agalychnis_callidryas,Agalychnis,0.0017977741281220599,3.6204,5.39788407359251,1365.0827689443925
Agama_impalearis,Agama,0.05471070516482216,1.8827,0.17932340359966933,66148.40030192578
Agapornis_fischeri,Agapornis,0.24028469302368402,1.3983,0.06340663272972348,118892.94176000527
Agapornis_personatus,Agapornis,0.07498406085788792,1.8304,0.22002782133556567,47631.340001658864
Agapornis_roseicollis,Agapornis,0.0686183798868293,1.8133,0.18984822616213784,54695.69293010969
Agelaioides_badius,Agelaioides,0.07580394469251993,2.1036,0.3077614288226079,24404.684236974666
Agelaius_phoeniceus,Agelaius,0.12999731015897362,1.7617,0.18541478128081845,40998.92722974808
Agkistrodon_piscivorus,Agkistrodon,1.3935984302226412,2.5561,0.006510344753178907,1.2188142794595128e6
Aglaeactis_castelnaudii,Aglaeactis,0.3912458371519291,0.75046,0.08470294425192022,87259.23944978726
Aglaeactis_cupripennis,Aglaeactis,0.8659736623270856,0.63755,0.03918120068542867,188236.44937416184
Aglaoctenus_lagotis,Aglaoctenus,0.005670006074869605,0.26965,4.05744683309355,1274.9885593224335
Agonus_cataphractus,Agonus,0.021502294647647476,2.9464,0.530539642355764,10900.556509244258
Agosia_chrysogaster,Agosia,0.04751136472247236,0.622,0.72353648413559,7350.388301341199
Ailia_coila,Ailia,0.002793008194371879,1.786,3.9021211026044273,1427.272719351261
Ailuroedus_crassirostris,Ailuroedus,0.051410404058370614,3.0775594220600375,0.22497471571047328,33421.023181082484
Ailuropoda_melanoleuca,Ailuropoda,0.021294626137915166,22.4524,0.10429279905186507,75436.58272866785
Ailurus_fulgens,Ailurus,0.05920220608039208,6.2848,0.0860232047088939,107617.08465700907
Aix_galericulata,Aix,0.05614190401244379,3.5313,0.15233495603850133,72509.70687456238
Aix_sponsa,Aix,0.1004916680862514,3.2021999999999995,0.0822605936963209,113970.64526570517
Akletos_goeldii,Akletos,0.4872164895084291,1.1568,0.0422205320674625,174590.17269176463
Akodon_albiventer,Akodon,0.28192677937923927,1.2972,0.0767372623700204,106761.22860639359
Akodon_azarae,Akodon,1.257525368626576,0.84299,0.028118597795090256,285893.5051396296
Akodon_dolores,Akodon,0.19836134719015697,1.5128000000000001,0.10554815247115161,92191.31702175901
Akodon_molinae,Akodon,0.2927363201471155,1.3532,0.07593199235974292,144211.4213961352
Alaemon_alaudipes,Alaemon,0.4587485405680481,1.1162,0.044774476536879444,165573.3499782785
Alaskozetes_antarcticus,Alaskozetes,0.030910710526315787,0.053159,48.5168274969701,272.8434160852508
Alasmidonta_heterodon,Alasmidonta,0.006210263611074314,1.249,2.6796468060977476,880.9093872985952
Alauda_arvensis,Alauda,0.06380535298985333,1.9683999999999997,0.535151006652545,14872.213349437363
Alaudala_rufescens,Alaudala,0.6019601714344923,0.9924499999999999,0.047928127288432584,154666.94084661416
Albatrossia_pectoralis,Albatrossia,0.01589692974830876,5.1173,0.2625097525935765,22372.079495132348
Albula_glossodonta,Albula,0.004657964724099375,13.3565,0.3760079757655984,18310.99314196846
Albula_vulpes,Albula,0.001304282574025831,19.1377,6.859108820153994,1039.4327283041384
Alburnoides_bipunctatus,Alburnoides,0.006445945024593206,2.8576,3.243334360351926,2308.2033297973926
Alburnoides_eichwaldii_Kaboudval,Alburnoides,0.9043125724914906,0.68076,0.019671231288923893,380289.3246371466
Alburnoides_eichwaldii_ShirAbad,Alburnoides,0.3999073595193096,0.87327,0.044068744970604166,163739.79776499787
Alburnoides_eichwaldii_Tajan,Alburnoides,0.04201666682262308,2.5423,0.2538125903699069,22648.73156168605
Alburnoides_eichwaldii_ZarrinGol,Alburnoides,0.006582097508858675,2.175,6.9751723225043865,762.3178884978606
Alburnoides_namaki,Alburnoides,0.004390351737603808,1.9882999999999997,2.843515128376598,1874.7393565005636
Alburnoides_qanati,Alburnoides,0.0024542104416321146,2.0177,5.01266149576674,1065.2817007854114
Alburnoides_tabarestanensis,Alburnoides,0.0017371443271276862,1.7348,8.236665997067904,686.2385273160208
Alburnus_alburnus,Alburnus,0.009299511086627186,2.8386,0.7611300254291143,7039.766020131765
Alburnus_baliki,Alburnus,0.002812793074848238,3.3147,7.439857873393408,1472.8671441948386
Alburnus_belvica,Alburnus,0.002869641200687934,2.5596,3.2820369589034644,1853.7800235679065
Alburnus_chalcoides,Alburnus,0.003885606498843407,6.295,0.9855725897282319,6364.363280843314
Alburnus_mossulensis,Alburnus,0.005545337019613124,3.6138,1.1868418093266235,4831.46374962748
Alburnus_tarichi,Alburnus,0.005069068848073779,2.265,6.567729641970679,859.7407025275071
Alburnus_vistonicus,Alburnus,0.0030310322948571343,3.7203,1.455878968438017,4136.181664549533
Alca_torda,Alca,0.08531738867940576,3.6913,0.08634242746406695,85749.63119360214
Alcedo_atthis,Alcedo,0.5907335997412912,1.0636,0.03305882425434355,230255.12258127294
Alcedo_meninting,Alcedo,0.19747427837433537,1.1517,0.10144169958093491,75400.59663895919
Alcelaphus_buselaphus,Alcelaphus,0.7144033507354628,4.6854,0.008161886271125813,1.3410071590261315e6
Alces_alces,Alces,0.005792876899914723,52.4575,0.8304269214399683,11070.803219644247
Alcippe_grotei,Alcippe,1.499907101524911,0.72265,0.028259781974943644,260942.0065561203
Aldabrachelys_gigantea,Aldabrachelys,0.00024311219633584778,45.7449,2.1410568827442646,4095.6632053615144
Aldrichetta_forsteri,Aldrichetta,0.003225268563956824,6.923,0.8248638167965364,8483.485153326255
Aleadryas_rufinucha,Aleadryas,0.13613658261128495,1.6716,0.15388948094307853,48311.27958144383
Alectoris_chukar,Alectoris,0.11100133950159148,3.2539,0.08620735991719579,92433.66409144367
Alectoris_graeca,Alectoris,0.659334184820355,1.8986000000000003,0.017642427184651175,532868.4981630766
Alectoris_rufa,Alectoris,0.35695564216173026,2.1172,0.03042686990758006,281635.2753919725
Alectrias_alectrolophus,Alectrias,0.006889214925710026,0.35868,6.355261009762884,842.8416088561265
Alectura_lathami,Alectura,0.0028048819206720026,11.5988,3.065570018055723,3177.2339144063
Alepes_djedaba,Alepes,0.004828793031243558,2.8589,1.7317592878753163,6788.171115128486
Alepes_kleinii,Alepes,0.004219821669718859,0.9869800000000001,4.2087651310356025,1442.4842447555243
Alepocephalus_bairdii,Alepocephalus,0.003563499583385116,11.944599999999998,0.48716565278533613,16009.241804906747
Alepocephalus_rostratus,Alepocephalus,0.0035924689266220644,6.7197000000000005,0.8570725498693876,6993.659674547683
Alestes_baremoze,Alestes,0.002390196408532746,0.93908,14.818325199091127,367.055878301866
Alestes_dentex,Alestes,0.0037342202788509565,1.3068,4.45543828666258,1187.2639045354379
Alestes_macrophthalmus,Alestes,0.0052249602132683716,8.377,0.4967386906333843,10685.381549152666
Alinda_biplicata,Alinda,0.014741151027990394,0.11038,12.738393543359784,307.8569539371473
Alle_alle,Alle,0.08526145738815748,2.6429,0.18333832118159865,44387.17811607867
Alligator_mississippiensis,Alligator,0.0034705413490243157,26.7317,0.39524230288001194,24502.56898764646
Alligator_sinensis,Alligator,0.0013955260386264363,25.0027,2.6805920392535816,3274.5136249398984
Allocareproctus_jordani,Allocareproctus,0.24520468520627245,1.9843,0.07004279849319642,75203.43322558678
Allocyttus_niger,Allocyttus,0.012870877855793892,6.393500000000001,0.3506989291505464,26440.85270154103
Allocyttus_verrucosus,Allocyttus,0.004275941590663514,7.149400000000001,0.9440172236112383,11052.683306729888
Alloteuthis_africana,Alloteuthis,0.003186543907469723,2.2134,2.4145423956166274,2678.0557489822218
Alloteuthis_subulata,Alloteuthis,0.0023091512609995013,2.7854,2.512162047505934,3191.3735402593493
Allothunnus_fallai,Allothunnus,0.002834083254882044,7.141,0.9807695969099107,6047.568189543292
Alona_iheringula,Alona,1.1677988770202885,0.017268,0.7454792578565376,9232.56877704515
Alonella_excisa,Alonella,0.5662606788558232,0.019549,1.605173700266341,3712.291142541449
Alophoixus_bres,Alophoixus,0.12030508550643211,1.669,0.17441178182631226,42684.85713696232
Alophoixus_ochraceus,Alophoixus,0.23791791173769636,1.3793,0.07710868617474176,95510.89929205953
Alopias_pelagicus,Alopias,0.0021615931614142815,30.895699999999998,0.5797951359745361,15554.161720190028
Alopias_superciliosus,Alopias,0.004539382858205864,29.0071,0.2765838968522409,39767.29253866341
Alopias_vulpinus,Alopias,0.0035464019136109423,34.7135,0.3105402809804807,25421.222660500713
Alosa_aestivalis,Alosa,0.009332725779659405,1.7275,1.2348126522441234,8452.727278476608
Alosa_alabamae,Alosa,0.017690529045316577,2.3325,0.4192117234832699,12844.852071664916
Alosa_alosa,Alosa,0.19330327442684295,3.323,0.02565592369963513,550503.6324990026
Alosa_chrysochloris,Alosa,0.004525299623813836,4.5701,1.2172483239898586,4908.636265479706
Alosa_fallax,Alosa,0.03371193591846206,3.1310000000000002,0.19980659524841365,70755.2044594472
Alosa_immaculata,Alosa,0.06321319621009723,2.6505,0.1407608587709787,83891.53637344578
Alosa_kessleri,Alosa,0.04782963585475763,2.4107,0.18290953152877062,168503.47467938944
Alosa_killarnensis,Alosa,0.01096191698588192,0.7638399999999999,2.5187651375143094,2395.2532283740643
Alosa_mediocris,Alosa,0.12601172696340404,1.0751,0.13698447354884274,38801.37830415959
Alosa_pseudoharengus,Alosa,0.008573704696289623,3.9662,0.7299214785671254,13929.805809384823
Alosa_sapidissima,Alosa,0.06357882623705409,3.3619999999999997,0.1411916522431972,58737.917650767886
Alosa_saposchnikowii,Alosa,0.02087450905049696,3.4705,0.21260271204336437,49096.69166342033
Alouatta_palliata,Alouatta,0.0009733869437921048,15.488799999999998,1.5112828161562766,5871.4631432044125
Alphestes_immaculatus,Alphestes,0.006879187544843561,6.6129,0.48607011554307994,11328.907264468337
Alpinocottus_poecilopus,Alpinocottus,0.011462516544769983,2.3454,0.7395425613817174,8143.479037986854
Alticola_argentatus,Alticola,1.258083834320263,1.0455,0.02530702166707268,320415.2387207606
Alticola_strelzowi,Alticola,0.4014194591573276,1.3061,0.056250886901693394,148748.5689166412
Aluterus_monoceros,Aluterus,0.02558411103669344,7.9176,0.1202529023080136,44261.65391073051
Alytes_cisternasii,Alytes,0.0304826493824365,1.0001,0.652043467396646,22467.158996307513
Alytes_muletensis,Alytes,0.010743077192391474,1.5987,6.06347933930363,1593.7123112222935
Alytes_obstetricans,Alytes,0.004875714173266995,1.6057769847804384,5.225885799492721,2047.0476152301494
Amadina_erythrocephala,Amadina,0.09599464979239429,1.4610000000000003,0.18042301437480648,41538.81786746016
Amadina_fasciata,Amadina,0.23732578690315825,1.0632,0.08374524405318447,88860.79772637348
Amandava_subflava,Amandava,0.06163165043136885,1.205,0.37894793597973386,20566.285189572216
Amarilladesma_mactroides,Amarilladesma,0.005589066899618305,1.4418,2.24116285959613,1753.8307475083059
Amatitlania_nigrofasciata,Amatitlania,0.004618804382197294,2.7662999999999998,1.7375755261652046,3219.0845997326055
Amaurornis_phoenicurus,Amaurornis,0.0323665302138011,3.2933,0.26904282963910364,29830.571340539645
Amazona_aestiva,Amazona,0.06779146186406447,3.3224,0.0993649377720325,75942.83559450664
Amazona_agilis,Amazona,0.07335378020931918,2.5559,0.1338134239549387,74877.351255351
Amazona_amazonica,Amazona,0.07928875084726353,3.1251,0.11851793843548733,83787.03643377239
Amazona_finschi,Amazona,0.07780955843579504,3.1101,0.09417530191958985,83379.63132454433
Ambassis_agassizii,Ambassis,0.0028840258852001087,2.1409000000000002,3.063774009537307,1720.8183938741042
Ambassis_gymnocephalus,Ambassis,0.01097161353590351,2.9393,0.940901369864832,5562.684950251479
Ambigolimax_valentianus,Ambigolimax,0.0629763250040927,0.53196,0.530553134625142,13549.821636793326
Ambiserrula_jugosa,Ambiserrula,0.0029353960690558845,1.0635,6.916856762677769,825.3802898551656
Amblema_plicata,Amblema,0.0072206670882873445,2.0375,0.22749287381120395,10495.093289235176
